assignment,file,kloc,submission_date,grade,subgrade_classes,subgrade_inheritance,subgrade_polymorphism,subgrade_code_quality,errors_total,pmd_total,checkstyle_total,errors_count,pmd_count,checkstyle_count,cluster_Best practices,cluster_Complexity,cluster_Incomplete code,cluster_Reusability and extendibility,cluster_Side effects,pmd_cat_Best practices,pmd_cat_Code style,pmd_cat_Design,pmd_cat_ErrorProne,checkstyle_cat_Block Checks,checkstyle_cat_Class Design,checkstyle_cat_Coding,checkstyle_cat_Imports,checkstyle_cat_Metrics,checkstyle_cat_SizeViolations,pmd_AbstractClassWithoutAbstractMethod,pmd_AbstractClassWithoutAnyMethod,pmd_ArrayIsStoredDirectly,pmd_AssignmentInOperand,pmd_AssignmentToNonFinalStatic,pmd_AtLeastOneConstructor,pmd_AvoidBranchingStatementAsLastInLoop,pmd_AvoidCatchingGenericException,pmd_AvoidCatchingNPE,pmd_AvoidDeeplyNestedIfStmts,pmd_AvoidDuplicateLiterals,pmd_AvoidPrintStackTrace,pmd_AvoidReassigningLoopVariables,pmd_AvoidReassigningParameters,pmd_AvoidThrowingNullPointerException,pmd_AvoidThrowingRawExceptionTypes,pmd_AvoidUncheckedExceptionsInSignatures,pmd_AvoidUsingHardCodedIP,pmd_BooleanGetMethodName,pmd_CallSuperInConstructor,pmd_ClassWithOnlyPrivateConstructorsShouldBeFinal,pmd_CloseResource,pmd_CognitiveComplexity,pmd_CompareObjectsWithEquals,pmd_ConfusingTernary,pmd_ConstantsInInterface,pmd_ConstructorCallsOverridableMethod,pmd_CouplingBetweenObjects,pmd_CyclomaticComplexity,pmd_DataClass,pmd_DoNotExtendJavaLangThrowable,pmd_DontUseFloatTypeForLoopIndices,pmd_EmptyCatchBlock,pmd_EmptyControlStatement,pmd_EmptyMethodInAbstractClassShouldBeAbstract,pmd_EqualsNull,pmd_ExcessiveParameterList,pmd_ExcessivePublicCount,pmd_ExtendsObject,pmd_FieldDeclarationsShouldBeAtStartOfClass,pmd_FinalFieldCouldBeStatic,pmd_FinalParameterInAbstractMethod,pmd_ForLoopCanBeForeach,pmd_GodClass,pmd_GuardLogStatement,pmd_IdempotentOperations,pmd_IdenticalCatchBranches,pmd_ImmutableField,pmd_ImplicitSwitchFallThrough,pmd_LawOfDemeter,pmd_LiteralsFirstInComparisons,pmd_LocalVariableCouldBeFinal,pmd_LogicInversion,pmd_LooseCoupling,pmd_MethodArgumentCouldBeFinal,pmd_MethodReturnsInternalArray,pmd_MissingOverride,pmd_MutableStaticState,pmd_NPathComplexity,pmd_NcssCount,pmd_NoPackage,pmd_NullAssignment,pmd_OneDeclarationPerLine,pmd_OnlyOneReturn,pmd_PrematureDeclaration,pmd_ReturnEmptyCollectionRatherThanNull,pmd_SignatureDeclareThrowsException,pmd_SimplifiedTernary,pmd_SimplifyBooleanExpressions,pmd_SimplifyBooleanReturns,pmd_SimplifyConditional,pmd_SingletonClassReturningNewInstance,pmd_SingularField,pmd_SwitchDensity,pmd_SwitchStmtsShouldHaveDefault,pmd_SystemPrintln,pmd_TooManyFields,pmd_TooManyMethods,pmd_TooManyStaticImports,pmd_UnnecessaryCast,pmd_UnnecessaryConstructor,pmd_UnnecessaryFullyQualifiedName,pmd_UnnecessaryImport,pmd_UnnecessaryLocalBeforeReturn,pmd_UnnecessaryModifier,pmd_UnnecessaryReturn,pmd_UnnecessarySemicolon,pmd_UnusedAssignment,pmd_UnusedFormalParameter,pmd_UnusedLocalVariable,pmd_UnusedPrivateField,pmd_UnusedPrivateMethod,pmd_UseCollectionIsEmpty,pmd_UseEqualsToCompareStrings,pmd_UseUtilityClass,pmd_UselessOverridingMethod,checkstyle_AnonInnerLength,checkstyle_AvoidInlineConditionals,checkstyle_AvoidNestedBlocks,checkstyle_AvoidNoArgumentSuperConstructorCall,checkstyle_AvoidStarImport,checkstyle_AvoidStaticImport,checkstyle_BooleanExpressionComplexity,checkstyle_ClassDataAbstractionCoupling,checkstyle_ClassFanOutComplexity,checkstyle_CovariantEquals,checkstyle_CyclomaticComplexity,checkstyle_DesignForExtension,checkstyle_EmptyCatchBlock,checkstyle_EqualsAvoidNull,checkstyle_ExecutableStatementCount,checkstyle_ExplicitInitialization,checkstyle_FallThrough,checkstyle_FileLength,checkstyle_FinalClass,checkstyle_HiddenField,checkstyle_HideUtilityClassConstructor,checkstyle_InnerAssignment,checkstyle_InterfaceIsType,checkstyle_JavaNCSS,checkstyle_LambdaBodyLength,checkstyle_MagicNumber,checkstyle_MethodLength,checkstyle_MissingCtor,checkstyle_MissingSwitchDefault,checkstyle_ModifiedControlVariable,checkstyle_MultipleStringLiterals,checkstyle_NPathComplexity,checkstyle_NestedForDepth,checkstyle_NestedIfDepth,checkstyle_NestedTryDepth,checkstyle_ParameterAssignment,checkstyle_ParameterNumber,checkstyle_ReturnCount,checkstyle_SimplifyBooleanExpression,checkstyle_SimplifyBooleanReturn,checkstyle_UnusedLocalVariable,checkstyle_VariableDeclarationUsageDistance,checkstyle_VisibilityModifier
HAN OOPD,aGFzaC03NDgxMzA1NzQ5Nzk3Njc0NDcy,2.188,2018-04-05,9.0,9.5,9.5,9.5,9.0,316.2705667276051,175.04570383912247,141.22486288848262,18.738574040219376,13.254113345521024,5.484460694698354,149.908592321755,2.742230347349177,21.02376599634369,141.22486288848262,1.3711151736745886,10.054844606946983,132.08409506398536,20.109689213893965,12.79707495429616,0.0,6.855575868372942,132.08409506398536,0.0,1.8281535648994514,0.45703839122486284,0.0,0.0,0.0,0.0,0.0,1.3711151736745886,0.0,0.0,0.0,0.0,0.0,0.9140767824497257,0.0,0.45703839122486284,0.0,0.0,0.0,0.0,0.45703839122486284,2.742230347349177,0.0,0.0,0.45703839122486284,5.027422303473491,1.8281535648994514,0.0,2.742230347349177,0.0,0.45703839122486284,0.0,0.0,0.0,0.0,0.0,0.45703839122486284,0.0,0.0,0.0,0.0,0.0,0.9140767824497257,0.0,0.0,0.9140767824497257,0.0,0.0,0.0,4.113345521023765,0.0,10.054844606946983,0.0,51.18829981718464,0.0,0.9140767824497257,72.21206581352833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.570383912248628,0.9140767824497257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8281535648994514,0.0,0.0,0.45703839122486284,0.0,1.3711151736745886,0.0,0.0,0.0,0.0,0.9140767824497257,0.0,0.0,0.0,0.0,0.45703839122486284,0.0,0.0,0.45703839122486284,0.9140767824497257,0.9140767824497257,5.027422303473491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3711151736745886,0.0,0.0,0.45703839122486284,5.941499085923217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.855575868372942,0.0,0.0,0.0,0.0,0.0,119.74405850091406,0.0,0.9140767824497257,0.0,0.0,2.742230347349177,0.0,0.0,0.45703839122486284,0.0,0.9140767824497257,0.45703839122486284,0.0,0.0,0.0,0.0,0.45703839122486284,0.9140767824497257
HAN OOPD,aGFzaDM2MDMxMzc0MjQ5MzYzODMxMjc=,0.57,2018-04-05,7.0,7.0,7.0,5.5,7.0,401.75438596491233,173.6842105263158,228.07017543859652,45.6140350877193,28.070175438596493,17.54385964912281,114.03508771929826,5.2631578947368425,92.98245614035089,189.47368421052633,0.0,5.2631578947368425,128.0701754385965,38.59649122807018,1.7543859649122808,0.0,49.12280701754386,177.19298245614036,0.0,1.7543859649122808,0.0,0.0,0.0,0.0,0.0,1.7543859649122808,1.7543859649122808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2631578947368425,0.0,0.0,1.7543859649122808,0.0,0.0,0.0,0.0,0.0,1.7543859649122808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56140350877193,0.0,0.0,0.0,10.526315789473685,0.0,0.0,82.4561403508772,0.0,0.0,1.7543859649122808,0.0,0.0,0.0,0.0,0.0,3.5087719298245617,0.0,0.0,0.0,0.0,1.7543859649122808,0.0,0.0,0.0,7.017543859649123,0.0,0.0,1.7543859649122808,0.0,0.0,0.0,0.0,0.0,0.0,21.05263157894737,0.0,0.0,0.0,3.5087719298245617,0.0,0.0,0.0,3.5087719298245617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7543859649122808,43.85964912280702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263157894737,0.0,0.0,0.0,0.0,0.0,140.35087719298247,0.0,1.7543859649122808,0.0,0.0,5.2631578947368425,0.0,0.0,5.2631578947368425,0.0,0.0,0.0,1.7543859649122808,1.7543859649122808,0.0,0.0,0.0,5.2631578947368425
HAN OOPD,aGFzaC0xMjI0OTA2MDA2MTI0MzY0MDY=,1.23,2020-04-06,6.7,6.0,6.0,6.0,6.0,252.03252032520325,159.34959349593495,92.6829268292683,24.390243902439025,17.073170731707318,7.317073170731708,125.20325203252033,0.8130081300813008,56.91056910569106,67.47967479674797,1.6260162601626016,6.504065040650406,110.56910569105692,39.02439024390244,3.252032520325203,0.0,17.88617886178862,73.98373983739837,0.0,0.8130081300813008,0.0,0.0,0.0,0.8130081300813008,0.0,0.0,0.8130081300813008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8130081300813008,0.8130081300813008,0.0,0.0,0.0,0.8130081300813008,0.8130081300813008,0.0,1.6260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.821138211382115,0.0,1.6260162601626016,0.0,0.0,0.0,0.0,16.260162601626018,0.0,5.691056910569106,0.0,50.40650406504065,0.0,1.6260162601626016,56.91056910569106,0.8130081300813008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8130081300813008,0.0,0.0,0.8130081300813008,0.8130081300813008,1.6260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8130081300813008,0.0,0.0,0.0,0.0,0.8130081300813008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8130081300813008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.252032520325203,0.0,0.0,0.0,23.577235772357724,0.0,0.0,0.0,0.0,0.0,39.83739837398374,0.0,0.8130081300813008,0.0,0.0,3.252032520325203,0.0,0.0,1.6260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6260162601626016,17.88617886178862
HAN OOPD,aGFzaC02ODQzMDY0MTQyMTE3MzA1NDc0,1.522,2021-04-01,8.9,10.0,8.0,8.0,10.0,270.6964520367937,157.03022339027595,113.66622864651774,22.339027595269382,14.45466491458607,7.884362680683311,96.58344283837056,5.256241787122208,40.07884362680683,128.77792378449408,0.0,10.512483574244415,86.07095926412615,59.13272010512483,1.314060446780552,0.0,46.649145860709595,64.38896189224704,0.0,1.9710906701708277,0.657030223390276,0.0,0.0,0.0,0.0,0.0,0.657030223390276,0.0,0.0,0.0,0.657030223390276,0.0,3.9421813403416555,0.0,0.0,0.0,0.0,0.0,0.0,0.657030223390276,0.657030223390276,0.0,0.0,1.314060446780552,0.0,0.0,0.0,0.657030223390276,0.0,1.314060446780552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.227332457293035,0.0,0.0,0.657030223390276,0.0,0.0,0.0,7.227332457293035,0.657030223390276,38.107752956636006,0.0,11.169513797634691,0.0,0.657030223390276,71.61629434954008,0.0,0.0,0.657030223390276,0.657030223390276,0.0,0.0,0.0,5.256241787122208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314060446780552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314060446780552,0.0,0.0,0.0,0.657030223390276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657030223390276,0.0,0.0,0.0,0.657030223390276,0.0,0.0,0.657030223390276,23.653088042049934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.053876478318003,0.0,0.0,0.0,0.0,0.0,42.04993429697766,0.0,0.657030223390276,0.0,0.0,0.657030223390276,0.657030223390276,0.0,1.314060446780552,0.0,0.0,0.657030223390276,0.0,0.0,0.0,0.0,0.0,22.996057818659658
HAN OOPD,aGFzaDUwNDMzMzAyOTQxNDQzNzY5ODc=,1.325,2022-04-07,8.7,8.0,8.0,6.0,10.0,272.45283018867923,166.7924528301887,105.66037735849056,27.924528301886795,18.867924528301888,9.056603773584905,110.9433962264151,0.7547169811320755,66.41509433962264,94.33962264150944,0.0,9.056603773584905,100.37735849056604,53.58490566037736,3.7735849056603774,0.0,32.45283018867924,70.9433962264151,1.509433962264151,0.7547169811320755,0.0,0.0,0.0,0.0,0.7547169811320755,0.0,0.7547169811320755,0.0,0.7547169811320755,0.0,0.0,0.0,0.7547169811320755,0.0,0.0,0.0,0.0,0.0,0.0,1.509433962264151,2.2641509433962264,0.0,2.2641509433962264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.320754716981133,0.0,0.0,0.0,0.0,0.0,0.0,14.339622641509434,0.7547169811320755,13.584905660377359,0.0,30.943396226415096,0.0,0.7547169811320755,64.15094339622642,0.0,0.0,6.037735849056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018867924528302,0.0,0.7547169811320755,1.509433962264151,0.7547169811320755,0.7547169811320755,0.0,0.0,0.0,0.0,0.7547169811320755,0.0,0.0,0.0,0.0,0.7547169811320755,1.509433962264151,0.0,3.018867924528302,0.0,0.0,0.0,0.0,3.018867924528302,0.0,0.7547169811320755,0.0,0.0,1.509433962264151,0.0,0.0,0.7547169811320755,0.0,0.0,0.0,22.641509433962266,0.0,0.0,0.0,0.7547169811320755,0.7547169811320755,0.0,0.0,18.11320754716981,0.0,0.0,0.0,0.0,0.0,46.0377358490566,0.0,0.7547169811320755,0.7547169811320755,0.0,3.018867924528302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81132075471698
HAN OOPD,aGFzaDM1NjIwODA3NzAyNTc0ODc3OTE=,1.624,2019-04-04,8.8,9.5,9.0,7.0,8.5,304.8029556650246,214.28571428571428,90.51724137931033,30.172413793103445,20.320197044334975,9.852216748768472,136.08374384236453,5.541871921182266,29.556650246305416,133.6206896551724,0.0,11.083743842364532,114.5320197044335,84.97536945812807,3.694581280788177,0.0,19.704433497536943,68.34975369458128,0.0,0.6157635467980295,1.8472906403940885,0.0,0.0,0.0,0.6157635467980295,0.6157635467980295,0.6157635467980295,0.0,0.6157635467980295,0.0,0.0,0.0,3.694581280788177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463054187192118,0.0,1.231527093596059,1.8472906403940885,0.0,0.0,0.0,0.6157635467980295,0.0,1.231527093596059,0.0,0.0,0.0,0.0,0.0,0.6157635467980295,0.0,0.0,0.0,0.0,6.773399014778325,3.694581280788177,0.0,0.6157635467980295,0.6157635467980295,0.0,0.0,0.0,12.93103448275862,0.0,61.576354679802954,0.6157635467980295,36.94581280788177,0.0,3.0788177339901477,57.881773399014776,0.0,0.0,0.6157635467980295,0.0,0.0,0.0,0.6157635467980295,0.6157635467980295,8.004926108374384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157635467980295,0.0,1.231527093596059,0.6157635467980295,0.0,0.6157635467980295,0.0,0.0,0.0,0.0,0.0,0.6157635467980295,0.6157635467980295,0.0,0.0,0.6157635467980295,0.0,0.0,0.0,0.0,0.0,0.0,0.6157635467980295,0.0,0.0,1.231527093596059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157635467980295,16.00985221674877,0.0,0.6157635467980295,0.0,2.463054187192118,0.0,0.0,0.0,6.157635467980295,0.6157635467980295,0.0,0.0,0.0,1.8472906403940885,47.41379310344827,0.0,1.231527093596059,1.231527093596059,0.0,2.463054187192118,0.0,0.0,3.694581280788177,0.0,0.0,0.0,0.6157635467980295,0.0,0.0,0.0,1.231527093596059,3.0788177339901477
HAN OOPD,aGFzaDg3OTMxMjAyMzQzNTgwNzA4NDg=,1.793,2016-03-30,6.9,7.5,7.0,7.0,6.5,223.64751812604575,134.41160066926938,89.23591745677636,26.213050752928055,15.616285554935862,10.596765197992193,102.62130507529281,11.154489682097045,56.33017289459008,53.541550474065815,0.0,3.3463469046291134,98.15950920245399,31.232571109871724,1.6731734523145567,0.0,9.481316229782488,74.17735638594534,0.0,5.01952035694367,0.5577244841048522,0.0,0.0,0.0,0.5577244841048522,0.0,1.1154489682097044,0.0,0.0,0.0,0.0,0.0,1.1154489682097044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6731734523145567,0.0,0.0,2.230897936419409,0.5577244841048522,2.230897936419409,0.0,0.0,0.0,3.3463469046291134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6731734523145567,0.0,0.0,0.5577244841048522,0.0,0.0,0.0,11.712214166201896,0.0,1.1154489682097044,0.0,29.001673173452314,0.0,1.1154489682097044,59.676519799219186,0.0,0.0,0.0,0.5577244841048522,0.0,0.0,0.0,0.0,1.1154489682097044,0.0,0.0,0.0,0.0,5.01952035694367,0.5577244841048522,0.0,0.0,1.6731734523145567,0.0,0.0,0.5577244841048522,0.5577244841048522,1.1154489682097044,0.0,0.0,0.0,0.0,2.7886224205242613,0.0,0.0,0.0,0.5577244841048522,0.0,0.0,0.0,0.0,0.5577244841048522,0.0,0.5577244841048522,0.0,1.1154489682097044,0.0,0.0,0.0,0.0,0.0,0.0,0.5577244841048522,1.1154489682097044,0.0,0.0,2.230897936419409,5.577244841048523,0.0,0.0,0.5577244841048522,1.6731734523145567,0.0,0.0,0.0,22.30897936419409,0.0,0.5577244841048522,0.0,0.5577244841048522,0.0,39.59843837144451,0.0,1.1154489682097044,0.0,0.0,1.6731734523145567,0.5577244841048522,0.0,0.5577244841048522,0.0,0.0,0.0,0.5577244841048522,5.01952035694367,0.5577244841048522,0.0,0.5577244841048522,3.9040713887339655
HAN OOPD,aGFzaC02Mjk4NTI4MzEzOTgwMjIzMzU=,0.95,2017-06-01,6.7,8.0,8.0,6.5,6.5,308.42105263157896,155.78947368421052,152.63157894736844,29.47368421052632,18.947368421052634,10.526315789473685,145.26315789473685,10.526315789473685,33.68421052631579,118.94736842105263,0.0,2.1052631578947367,125.26315789473685,18.947368421052634,9.473684210526317,0.0,36.8421052631579,111.57894736842105,0.0,4.2105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,1.0526315789473684,0.0,0.0,2.1052631578947367,4.2105263157894735,0.0,0.0,1.0526315789473684,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,3.1578947368421053,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,9.473684210526317,0.0,0.0,0.0,38.94736842105263,0.0,0.0,80.0,0.0,0.0,0.0,2.1052631578947367,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,4.2105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052631578947367,28.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789473684210527,0.0,0.0,0.0,0.0,0.0,81.05263157894737,0.0,1.0526315789473684,0.0,0.0,11.578947368421053,2.1052631578947367,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,8.421052631578947
HAN OOPD,aGFzaC0zMjQ3ODQyMTkxNTAzMjQzNzkz,0.946,2018-10-31,7.5,8.0,8.0,7.5,7.5,304.4397463002114,161.73361522198732,142.7061310782241,40.169133192389005,25.36997885835095,14.799154334038056,135.30655391120507,6.342494714587738,39.112050739957716,123.6786469344609,0.0,26.427061310782243,107.82241014799155,27.48414376321353,0.0,0.0,44.397463002114165,94.08033826638479,1.0570824524312896,3.171247357293869,0.0,0.0,0.0,0.0,0.0,0.0,1.0570824524312896,0.0,0.0,0.0,0.0,0.0,3.171247357293869,0.0,0.0,0.0,0.0,0.0,0.0,2.1141649048625792,1.0570824524312896,0.0,0.0,1.0570824524312896,0.0,5.2854122621564485,0.0,0.0,0.0,1.0570824524312896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0570824524312896,0.0,0.0,1.0570824524312896,0.0,0.0,0.0,8.456659619450317,0.0,5.2854122621564485,0.0,35.94080338266385,0.0,3.171247357293869,59.19661733615222,0.0,0.0,0.0,1.0570824524312896,0.0,0.0,0.0,1.0570824524312896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2854122621564485,0.0,0.0,15.856236786469346,1.0570824524312896,2.1141649048625792,0.0,0.0,0.0,0.0,2.1141649048625792,1.0570824524312896,0.0,0.0,0.0,2.1141649048625792,0.0,0.0,1.0570824524312896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0570824524312896,0.0,0.0,1.0570824524312896,0.0,0.0,1.0570824524312896,40.16913319238901,0.0,0.0,0.0,1.0570824524312896,0.0,0.0,0.0,15.856236786469346,0.0,1.0570824524312896,0.0,0.0,0.0,66.59619450317125,0.0,1.0570824524312896,0.0,0.0,2.1141649048625792,1.0570824524312896,0.0,5.2854122621564485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0570824524312896,4.2283298097251585
HAN OOPD,aGFzaC03Mzc0OTAwNzM4OTM3MjkxNjI5,0.743,2018-04-05,7.0,5.5,5.5,6.0,7.5,285.32974427994617,135.93539703903096,149.3943472409152,30.955585464333783,18.842530282637956,12.113055181695827,122.47644683714671,2.6917900403768504,28.263795423956932,129.20592193808884,2.6917900403768504,2.6917900403768504,117.09286675639301,16.150740242261104,0.0,0.0,29.609690444145357,118.43876177658143,0.0,1.3458950201884252,0.0,0.0,0.0,1.3458950201884252,0.0,0.0,1.3458950201884252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6917900403768504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3458950201884252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6917900403768504,0.0,0.0,0.0,0.0,0.0,0.0,4.037685060565276,0.0,5.383580080753701,0.0,41.722745625841185,0.0,0.0,55.181695827725434,1.3458950201884252,0.0,0.0,0.0,0.0,14.804845222072679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3458950201884252,0.0,0.0,0.0,0.0,1.3458950201884252,0.0,0.0,0.0,0.0,0.0,1.3458950201884252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3458950201884252,0.0,0.0,0.0,21.534320323014803,0.0,0.0,0.0,4.037685060565276,0.0,0.0,0.0,14.804845222072679,0.0,0.0,0.0,0.0,0.0,92.86675639300135,0.0,1.3458950201884252,0.0,0.0,2.6917900403768504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6917900403768504,8.075370121130552
